Unnamed: 0,Date_played,Rank,Tournament_tier,Tournament_name,Team_name,Money_Won
0,2022-07-24,14,B,Battlegrounds Mobile India Showdown 2022,GodLike Esports,$252
1,2022-07-17,2,A,BGMI Masters Series,GodLike Esports,"$18,808"
2,2022-06-16,12,B,The Esports Club - BGMI Invitational Season 4,GodLike Esports,0
3,2022-04-28,14,A,Nodwin x Loco All Stars Invitational,GodLike Esports,$392
4,2022-04-19,22,B,Pro Warrior Cup S2: Conquest Round,GodLike Esports,0
5,2022-04-17,10,C,Battlegrounds Mobile India Open Challenge 2022: The Grind,GodLike Esports,0
6,2022-04-03,6,B,7Sea Invitational,GodLike Esports,$700
7,2022-03-29,2,C,The Esports Club - BGMI Invitational Season 3,GodLike Esports,"$1,976"
8,2022-03-24,4,B,Upthrust Esports India Rising 2022,GodLike Esports,$655
9,2022-03-06,4,B,VE Winter Masters 2022,GodLike Esports,$977
10,2022-03-05,9,C,Ruthless Invitational Showdown,GodLike Esports,0
11,2022-02-20,15,C,OR Championship - Legends Rise 2022,GodLike Esports,0
12,2022-02-16,7,B,Skyesports Grand Slam 2022,GodLike Esports,0
13,2022-02-10,18,C,Pro Warrior Cup Season 1,GodLike Esports,0
14,2022-01-23,13,S,PUBG Mobile Global Championship 2021: Grand Finals,GodLike Esports,"$57,000"
15,2022-01-16,4,A,Battlegrounds Mobile India Series 2021,GodLike Esports,"$4,030"
16,2021-12-26,6,B,Skyesports Mobile Open,GodLike Esports,$536
17,2021-12-12,3,C,Battlegrounds Mobile India Series 2021: The Grind,GodLike Esports,$328
18,2021-12-05,3,B,Red Bull M.E.O. Season 4: India,GodLike Esports,"$1,057"
19,2021-11-22,9,B,LOCO Diwali Battle: Grand Finals,GodLike Esports,$799
20,2021-11-17,1,2Show M.,The Fall Season Face-Off,Team Jonathan,"$3,365"
21,2021-11-17,2,B,LOCO Diwali Battle: League Stage,GodLike Esports,"$3,096"
22,2021-10-31,1,A,LOCO War of Glory: Grand Finals,GodLike Esports,"$26,971"
23,2021-10-27,1,B,Ranbhoomi Season 1,GodLike Esports,"$6,676"
24,2021-10-22,10,B,LOCO War of Glory: League Stage,GodLike Esports,0
25,2021-10-02,11,C,Wings BattleFest,GodLike Esports,0
26,2021-10-01,2,C,THUG Invitational: Season 3,GodLike Esports,"$1,078"
27,2021-09-21,24,C,Villager Esports Pro Invitational 2021: Group Stage,GodLike Esports,0
28,2021-09-18,4,C,Chemin Esports Ultimate Showdown,GodLike Esports,0
29,2021-09-16,21,C,Esportswala Elite Invitational Battle Season 2,GodLike Esports,0
30,2021-09-12,1,A,Skyesports Championship 3.0,GodLike Esports,"$16,296"
31,2021-09-01,6,C,game.tv Weekly Wars: Season 1,GodLike Esports,0
32,2021-08-31,10,C,iQOO All Stars Cup,GodLike Esports,0
33,2021-08-29,2,C,BGMI EWar Mahayudh Season 2,GodLike Esports,$479
34,2021-08-29,8,C,The Esports Club - BGMI Invitational Season 1,GodLike Esports,0
35,2021-08-27,11,C,Rooter Pro Scrims: Conqueror Phase,GodLike Esports,0
